,count,mean,std,min,25%,50%,75%,max
Age,23486.0,43.198543813335604,12.279543615591493,18.0,34.0,41.0,52.0,99.0
Positive Feedback Count,23486.0,2.535936302478072,5.7022015020339385,0.0,0.0,1.0,3.0,122.0
Review_Text_Length,23486.0,297.581665673167,152.57268616346627,0.0,173.0,292.0,451.0,508.0
Review_Word_Count,23486.0,58.030869454142895,30.176432875893326,0.0,34.0,57.0,87.0,115.0
Title_Length,23486.0,15.998807800391722,11.244638618609388,0.0,9.0,15.0,23.0,52.0
Rating,23486.0,4.196031678446734,1.1100307198243897,1.0,4.0,5.0,5.0,5.0
Recommended IND,23486.0,0.8223622583666865,0.38221563891455684,0.0,1.0,1.0,1.0,1.0
