bien,Q1,Q3,IQR,lower_bound,upper_bound,so_outlier,ty_le_outlier
Unnamed: 0,5871.25,17613.75,11742.5,-11742.5,35227.5,0,0.0
Clothing ID,861.0,1078.0,217.0,535.5,1403.5,1491,0.0634846291407647
Age,34.0,52.0,18.0,7.0,79.0,109,0.004641062760793665
Rating,4.0,5.0,1.0,2.5,6.5,2407,0.10248658775440687
Recommended IND,1.0,1.0,0.0,1.0,1.0,4172,0.17763774163331347
Positive Feedback Count,0.0,3.0,3.0,-4.5,7.5,2147,0.09141616282040364
Review Text Length,186.0,459.0,273.0,-223.5,868.5,0,0.0
Title Length,12.0,24.0,12.0,-6.0,42.0,538,0.027342955885342548
